UID,Country_Region,Date,ConfirmedCases,Fatalities
84005083,US,7/1/20,931282,31953
84005085,US,7/2/20,960858,32273
84005087,US,7/3/20,986820,32518
84005089,US,7/4/20,1012773,32594
84005091,US,7/5/20,1042975,32688
84005093,US,7/6/20,1063829,32833
84005095,US,7/7/20,1094167,33434
84005097,US,7/8/20,1124016,33788
84005099,US,7/9/20,1152938,34205
84005101,US,7/10/20,1187220,34570
84005103,US,7/11/20,1217653,34915
84080005,US,7/12/20,1250391,35112
84005105,US,7/13/20,1280288,35248
84005107,US,7/14/20,1313454,35722
84005109,US,7/15/20,1344979,36180
84005111,US,7/16/20,1381737,36605
84005113,US,7/17/20,1416300,37041
84005115,US,7/18/20,1448621,37498
84005117,US,7/19/20,1478563,37650
84005119,US,7/20/20,1507515,37826
84005121,US,7/21/20,1541081,38374
84005125,US,7/22/20,1574015,38932
84005127,US,7/23/20,1606569,39472
84005129,US,7/24/20,1644943,39986
84005131,US,7/25/20,1678586,40486
84005133,US,7/26/20,1705288,40656
84005135,US,7/27/20,1730122,40833
84005123,US,7/28/20,1761265,41324
84005137,US,7/29/20,1793499,42016
84090005,US,7/30/20,1825152,42724
84005139,US,7/31/20,1855492,43380
84005141,US,8/1/20,1886709,43899
84005143,US,8/2/20,1908661,44120
84005145,US,8/3/20,1926383,44273
84005147,US,8/4/20,1946766,44919
84005149,US,8/5/20,1970107,45527
84006001,US,8/6/20,1997474,45977
84006003,US,8/7/20,2025724,46583
84006005,US,8/8/20,2054155,47148
84006007,US,8/9/20,2077016,47365
84006009,US,8/10/20,2100433,47574
84006011,US,8/11/20,2126360,48265
84006013,US,8/12/20,2151931,49053
84006015,US,8/13/20,2173973,49478
84006017,US,8/14/20,2205299,50095
84006019,US,8/15/20,2227689,50629
84006021,US,8/16/20,2244831,50829
84006023,US,8/17/20,2259779,51026
84006025,US,8/18/20,2278931,51585
84006027,US,8/19/20,2297782,52163
84006029,US,8/20/20,2316976,52613
84006031,US,8/21/20,2338001,53083
84006033,US,8/22/20,2358060,53605
84006035,US,8/23/20,2372344,53758
84006037,US,8/24/20,2386720,53944
84006039,US,8/25/20,2404619,54504
84006041,US,8/26/20,2420973,55053
84006043,US,8/27/20,2438720,55548
84006045,US,8/28/20,2457501,55970
84006047,US,8/29/20,2475764,56517
84006049,US,8/30/20,2488652,56649
84006051,US,8/31/20,2501568,56843
84006053,US,9/1/20,2520310,57398
84006055,US,9/2/20,2535991,57866
84006057,US,9/3/20,2553771,58402
84006059,US,9/4/20,2574378,58894
84080006,US,9/5/20,2592143,59217
84006061,US,9/6/20,2604058,59369
84006063,US,9/7/20,2612645,59476
84006065,US,9/8/20,2621759,59672
84006067,US,9/9/20,2633995,60162
84006069,US,9/10/20,2647487,60671
84006071,US,9/11/20,2664385,61158
84006073,US,9/12/20,2681739,61525
84006075,US,9/13/20,2693397,61644
84006077,US,9/14/20,2703430,61778
84006079,US,9/15/20,2716855,62382
84006081,US,9/16/20,2730586,62769
84006083,US,9/17/20,2747451,63189
84006085,US,9/18/20,2764956,63670
84006087,US,9/19/20,2781957,63983
84006089,US,9/20/20,2793667,64027
84006091,US,9/21/20,2804675,64124
84006093,US,9/22/20,2816740,64530
84006095,US,9/23/20,2830917,65062
84006097,US,9/24/20,2847172,65513
84006099,US,9/25/20,2862866,65896
84006101,US,9/26/20,2877869,66233
84006103,US,9/27/20,2888270,66338
84006105,US,9/28/20,2897845,66421
84006107,US,9/29/20,2911697,66849
84006109,US,9/30/20,2925659,67279
84090006,US,10/1/20,2940810,67683
84006111,US,10/2/20,2958035,68007
84006113,US,10/3/20,2973934,68272
84006115,US,10/4/20,2984142,68418
84008001,US,10/5/20,2994314,68574
84008003,US,10/6/20,3007260,68872
84008005,US,10/7/20,3022670,69262
84008007,US,10/8/20,3041558,69664
84008009,US,10/9/20,3060197,70028
84008011,US,10/10/20,3074402,70264
84008013,US,10/11/20,3092124,70517
84008014,US,10/12/20,3106265,70634
84008015,US,10/13/20,3121489,70946
84008017,US,10/14/20,3138037,71288
84008019,US,10/15/20,3157925,71705
84008021,US,10/16/20,3180070,72116
84008023,US,10/17/20,3199687,72456
84008025,US,10/18/20,3216451,72597
84008027,US,10/19/20,3232356,72760
84008029,US,10/20/20,3252024,73075
84008031,US,10/21/20,3271013,73538
84008033,US,10/22/20,3301306,73819
84008035,US,10/23/20,3328585,74102
84008037,US,10/24/20,3355349,74404
84008041,US,10/25/20,3373974,74499
84008039,US,10/26/20,3396316,74632
84008043,US,10/27/20,3419265,74999
84008045,US,10/28/20,3444465,75330
84008047,US,10/29/20,3472579,75666
84008049,US,10/30/20,3505370,75976
84008051,US,10/31/20,3535089,76309
84008053,US,11/1/20,3561439,76466
84008055,US,11/2/20,3589020,76632
84008057,US,11/3/20,3649691,77461
84008059,US,11/4/20,3681411,77813
84008061,US,11/5/20,3723019,78217
84008063,US,11/6/20,3765242,78581
84008067,US,11/7/20,3809121,79003
84008065,US,11/8/20,3845317,79163
84008069,US,11/9/20,3883028,79430
84008071,US,11/10/20,3928894,79857
84008073,US,11/11/20,3975510,80387
84008075,US,11/12/20,4023475,80740
84008077,US,11/13/20,4084113,81107
84008079,US,11/14/20,4136252,81586
84008081,US,11/15/20,4185536,81788
84008083,US,11/16/20,4232750,82040
84008085,US,11/17/20,4288180,82574
84008087,US,11/18/20,4342052,83244
84008089,US,11/19/20,4409346,83922
84008091,US,11/20/20,4476426,84488
84080008,US,11/21/20,4539986,84945
84008093,US,11/22/20,4585691,85264
84008095,US,11/23/20,4640473,85602
84008097,US,11/24/20,4702854,86189
84008099,US,11/25/20,4763614,86894
84008101,US,11/26/20,4812855,87356
84008103,US,11/27/20,4875629,87791
84008105,US,11/28/20,4926984,88212
84008107,US,11/29/20,4973442,88457
84008109,US,11/30/20,5023091,88875
84008111,US,12/1/20,5101745,89651
84008113,US,12/2/20,5172533,90575
84008115,US,12/3/20,5257399,91582
84008117,US,12/4/20,5340873,92396
84008119,US,12/5/20,5423787,93138
84090008,US,12/6/20,5487330,93568
84008121,US,12/7/20,5559524,94088
84008123,US,12/8/20,5648609,94818
84008125,US,12/9/20,5728782,96016
84009001,US,12/10/20,5825101,97060
84009003,US,12/11/20,5921378,98051
84009005,US,12/12/20,6006792,98792
84009007,US,12/13/20,6077702,99298
84009009,US,12/14/20,6162868,99880
84009011,US,12/15/20,6262373,100775
84080009,US,12/16/20,6368864,102059
84009013,US,12/17/20,6470783,103186
84090009,US,12/18/20,6574478,104187
84009015,US,12/19/20,6666064,105105
84010001,US,12/20/20,6741880,105601
84010003,US,12/21/20,6821662,106192
84080010,US,12/22/20,6909823,107176
84010005,US,12/23/20,7001292,108268
84090010,US,12/24/20,7103348,109391
